path,category,current_role,target_role,action,risk,notes
pyproject.toml,migration_doc,setuptools packages find include intraday_research star flat,where src layout,KEEP_LOCAL_ONLY,phase 2A additive only no packages find change phase 2B switches layout,untracked pre existing
pytest.ini,migration_doc,pythonpath dot only,pythonpath src dot after phase 2B,KEEP_LOCAL_ONLY,phase 2B one line pythonpath change,tracked clean
requirements.txt,migration_doc,baseline runtime deps no torch,torch only in pyproject optional deep,KEEP_LOCAL_ONLY,no implicit install,tracked clean
.gitignore,migration_doc,artifact policy boundaries,unchanged,KEEP_LOCAL_ONLY,M dirty do not revert,M dirty WIP
AGENTS.md,protocol_doc,research contract v6.2 raw config screening,unchanged,KEEP_LOCAL_ONLY,M dirty do not revert hard research rules source of truth,M dirty WIP
README.md,protocol_doc,project entry point,phase 9 optional skip by default,KEEP_LOCAL_ONLY,M dirty do not revert,M dirty WIP
CLAUDE.md,migration_doc,workspace session context dump at project root,unchanged,KEEP_LOCAL_ONLY,untracked root file workspace context not research code,untracked
intraday_research/__init__.py,canonical_source,flat layout package docstring only no version,merge into src package init phase 2B,MOVE_IN_FUTURE_PHASE,phase 2B merge with src version constants,tracked clean
intraday_research/baseline_v1.py,canonical_source,flat layout baseline helpers,move verbatim to src package phase 2B,MOVE_IN_FUTURE_PHASE,phase 2B verbatim move test baseline v1 helpers must still pass,tracked clean
intraday_research/validation_pipeline.py,canonical_source,flat layout validation pipeline,move verbatim to src package phase 2B,MOVE_IN_FUTURE_PHASE,phase 2B verbatim move test validation pipeline must still pass,tracked clean
data/CSCO.csv,raw_data,5min intraday OHLCV ticker CSCO,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/JPM.csv,raw_data,5min intraday OHLCV ticker JPM,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/KO.csv,raw_data,5min intraday OHLCV ticker KO,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/MSFT.csv,raw_data,5min intraday OHLCV ticker MSFT,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/WMT.csv,raw_data,5min intraday OHLCV ticker WMT,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
notebooks/01_research_direction_colab.ipynb,canonical_source,intro research direction colab,unchanged intro notebook,INVENTORY_ONLY,intro lane not part of stage pipeline,untracked
